time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description,txn partner,link
2023-05-21 13:30:34,Fee,,,,,ALGO,0.003,Group Combined Fees - PICBBLSrJSh8v3uA0FoyMfk/3uJEPcjY+sI96Xh+Jd0=,3 txns. ,Algorand Network,https://allo.info/tx/group/PICBBLSrJSh8v3uA0FoyMfk/3uJEPcjY+sI96Xh+Jd0=
2023-05-22 05:43:12,Receive,,,ALGO,4.2,,,(Group- jR/rq...) - InnerTxn #1 - IECJ2...,1 txns.  ,U6NIKB6URSFUTDZQEIGUPKM7FY3ZW5HJBWZWYUOBTBSAMKGD3CRAK3D65U,https://allo.info/tx/group/jR/rqtC4BWtJum5YFbqzCVrTkowS3yyAX/NtbKcjq1E=
2023-05-22 09:18:32,Swap,ALGO,4.01909,COOP,74.020801,,,Swap Row - Combined Group - HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=,"Pact : Pact Swap : Swap, Add Liquidity",Pact,
2023-05-22 09:18:32,Add Liquidity,ALGO,3.98091,,,,,(Group- HK0pR...) - YFJI5X4O3IDOGMTH62VMSADMII2RB3I2LH4S5RIRFNJWB244H3EQ,"Pact : Pact Swap : Swap, Add Liquidity ",Pact,https://allo.info/tx/group/HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=
2023-05-22 09:18:32,Add Liquidity,COOP,74.0208,,,,,(Group- HK0pR...) - GO5GE4DBBHJGQOQM4OXIIAXXALSOWT2SDLUAAKPA5IPQ6WPONQAQ,"Pact : Pact Swap : Swap, Add Liquidity ",Pact,https://allo.info/tx/group/HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=
2023-05-22 09:18:32,Receive Slippage,,,ALGO,0.000001,,,(Group- HK0pR...) - InnerTxn #2 - 2I52V...,"Pact : Pact Swap : Swap, Add Liquidity ",Pact,https://lora.algokit.io/mainnet/transaction/2I52VGZIXGQKTBQRTSZPQIEHIOQQ5U2GXJLHX5WMJTUUVBZDX7EA
2023-05-22 09:18:32,Receive LP Tokens,,,COOP/ALGO LP Token,1.171252,ALGO,0.008,Combined Group - HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=,"Pact : Pact Swap : Swap, Add Liquidity",Pact,https://allo.info/tx/group/HK0pR/3bMURBqiZhaFD/1+5NMvs0wYJDCTX7oaSsqOY=
2023-05-22 16:10:18,Swap,ALGO,6.101111,COOP,100.419999,ALGO,0.004,Combined Group - u5e6VtwT10GQrofr5qbwL4u6tWFVvEa8gvXpC+YacIc=,Tinyman : Tinyman AMM v2 : Swap (Buy),Tinyman,https://allo.info/tx/group/u5e6VtwT10GQrofr5qbwL4u6tWFVvEa8gvXpC+YacIc=
2023-05-22 16:10:18,Receive Slippage,,,ALGO,0.030353,,,(Group- u5e6V...) - InnerTxn #1 - YOTXY...,Tinyman : Tinyman AMM v2 : Swap (Buy) ,Tinyman,https://lora.algokit.io/mainnet/transaction/YOTXYEGPP3LSEKNGLKMGSEZYPNKHJMIDSHKM2XKFZ2LZEV3ZCDDA
2023-05-22 16:11:59,Send,ALGO,70.,,,,,(Group- elIKw...) - XAGP2SK433V44QGQZJ5QNLRS3MBGZRO5NUE3QAOE7C3UD3L2YAMQ,Folks Finance : Folks Finance v2 : Deposit ,2ZPNLKXWCOUJ2ONYWZEIWOUYRXL36VCIBGJ4ZJ2AAGET5SIRTHKSNFDJJ4,https://allo.info/tx/group/elIKwSMu7qxu/QhU5DjriDGUWfZWWu0IChKVtHCxNvQ=
2023-05-22 16:11:59,Fee,,,,,ALGO,0.005,Group Combined Fees - elIKwSMu7qxu/QhU5DjriDGUWfZWWu0IChKVtHCxNvQ=,Folks Finance : Folks Finance v2 : Deposit,Algorand Network,https://allo.info/tx/group/elIKwSMu7qxu/QhU5DjriDGUWfZWWu0IChKVtHCxNvQ=
2023-05-22 16:12:58,Staking Rewards,,,BANK,0.589797,ALGO,0.004,Combined Group - KkicQoG0oMb+5xVFXROUZ60PDNO6hKCNePEH2Lnytlk=,Algofi : Staking v2 : Claim Rewards,Algofi,https://allo.info/tx/group/KkicQoG0oMb+5xVFXROUZ60PDNO6hKCNePEH2Lnytlk=
2023-05-22 16:13:06,Staking Rewards,,,BANK,1.325271,ALGO,0.004,Combined Group - XplWgTgheJc3g8V9JSicsfCPdmIfGX3Z8j9L2yCNAMk=,Algofi : Staking v2 : Claim Rewards,Algofi,https://allo.info/tx/group/XplWgTgheJc3g8V9JSicsfCPdmIfGX3Z8j9L2yCNAMk=
2023-05-22 16:13:58,Collateral Withdrawal,,,ALGO,10.000003,ALGO,0.004,Combined Group - t0s7CCxFte7wZxBOSKyA3KpeTI2O1OBNhiBnpu+MjCg=,Algofi : Lending Market v2 : Remove Collateral,Algofi,https://allo.info/tx/group/t0s7CCxFte7wZxBOSKyA3KpeTI2O1OBNhiBnpu+MjCg=
2023-05-22 16:14:27,Deposit,ALGO,0.6075,,,ALGO,0.004,Combined Group - zUUPXyRtUx3p4KTyxMjRDbnh5wVvDl4kQbfjFlyz6pQ=,Algofi : Algofi Governance : Initialize Account,Algofi - Inital Escrow,https://allo.info/tx/group/zUUPXyRtUx3p4KTyxMjRDbnh5wVvDl4kQbfjFlyz6pQ=
