time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2023-05-21 10:46:15,,ALGO,5.328401,,,,,Combo 2 HdVEXHmFaX5l6ih4rlY3ZFW0k+Su5TFdjR7Ecb1+Eu8=,4 txns. Pact : Pact Swap : Add Liquidity
2023-05-21 10:46:15,,COOP,169.,PLP,2.081083,,,Combo 3 HdVEXHmFaX5l6ih4rlY3ZFW0k+Su5TFdjR7Ecb1+Eu8=,4 txns. Pact : Pact Swap : Add Liquidity
2023-05-21 10:47:19,,COOP,0.174911,,,ALGO,0.001,D5I2UH4VYRM6MIKUB335SBUW4MZCDV2P2WTMLSKNCIJZ6BB7KC3Q,Sender
2023-05-21 10:50:34,,TMPOOL2,34.763861,COOP,439.278344,ALGO,0.004,8O5lqx6BOk3BPbN2apY+dugXCD9EKA1eOfd+adeItkM=,2 txns. Tinyman : Tinyman AMM v2 : Remove Liquidity
2023-05-21 11:28:45,,COOP,508.278344,TMPOOL2,42.240577,ALGO,0.004,/wl3Yrq44jWGIWFVJYWUy7VNxYA+Hv+zA4u0eRp9BrM=,2 txns. Tinyman : Tinyman AMM v2 : Add Liquidity
2023-05-21 11:29:22,,,,COOP,69.,ALGO,0.004,uQXQh/C4/8kKXM5utBZuv6g8LDwcmbdDwmfxNDL41Zs=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-21 11:29:22,,ALGO,2.423431,ALGO,0.012056,,,Combo 2 uQXQh/C4/8kKXM5utBZuv6g8LDwcmbdDwmfxNDL41Zs=,2 txns. Tinyman : Tinyman AMM v2 : Swap (Buy)
2023-05-21 11:34:55,,ALGO,10.,BANK,1035.986257,ALGO,0.02,uoubglIxFPQICYrv8S8dfFhtrZ4NlaDXAdD8f5nGx8w=,"5 txns. Algofi : Lending Pool : Swap (Sell), Zap"
2023-05-21 11:35:21,,BANK,1035.986236,AF-POOL,98.454524,ALGO,0.031,HdvLzhqYRhDnDmng3kYnW34VYP77hu/GrHPiNegE1rQ=,6 txns. Algofi : Lending Pool : Zap
2023-05-21 11:35:21,,ALGO,9.975399,,,,,Combo 2 HdvLzhqYRhDnDmng3kYnW34VYP77hu/GrHPiNegE1rQ=,6 txns. Algofi : Lending Pool : Zap
2023-05-21 11:35:48,,,,,,ALGO,0.001,BK35CCRHQQP2HNJHWM5SGFHDCFNXOIILUEVRYYKM3S4M74USAWCA,Sender
2023-05-21 11:36:11,,AF-POOL,98.454524,,,ALGO,0.004,ZRJXrwB2tly/7EEq0xCowy/0sNFC+HXaF5hJkz2alLg=,3 txns. Algofi : Staking v2 : Deposit Stake
2023-05-21 11:36:45,,ALGO,100.,,,ALGO,0.003,eOTJz/Vzm3CM2GYlyQUHXZTo/DINt2ZLZOrcdEze0N0=,2 txns. Algofi : Lending Market v2 : Add to Collateral
2023-05-21 11:37:11,,ALGO,0.471,,,ALGO,0.004,BYL2HgJDQ7TtNE1cH0XblnaJ//QhMgYMazizXszBFzQ=,3 txns. Algofi : Lending Market v2 : Initialize Account
2023-05-21 11:37:41,,,,STBL2,1.1,ALGO,0.006,yiSIwE94kKMClCuYZKr8t96WI2V93O/rApgAESPqHzM=,3 txns. Algofi : Lending Market v2 : Borrow
2023-05-21 11:38:33,,,,BANK,0.011645,ALGO,0.057,sfCOcmEhP/HcvGrKWvrTWq8qmwtBwYhuXy6G6R9SQcM=,"10 txns. Algofi : Lending Pool : Swap (Buy), Zap"
2023-05-21 11:38:33,,STBL2,0.550325,STBL2,0.002736,,,Combo 2 sfCOcmEhP/HcvGrKWvrTWq8qmwtBwYhuXy6G6R9SQcM=,"10 txns. Algofi : Lending Pool : Swap (Buy), Zap"
2023-05-21 11:38:33,,STBL2,0.546895,BANK,343.658118,,,Combo 3 sfCOcmEhP/HcvGrKWvrTWq8qmwtBwYhuXy6G6R9SQcM=,"10 txns. Algofi : Lending Pool : Swap (Buy), Zap"
2023-05-21 11:38:33,,BANK,343.658108,AF-POOL,13.11384,,,Combo 4 sfCOcmEhP/HcvGrKWvrTWq8qmwtBwYhuXy6G6R9SQcM=,"10 txns. Algofi : Lending Pool : Swap (Buy), Zap"
2023-05-21 11:38:59,,,,,,ALGO,0.001,7H6ATLCVERDRFHGQYREUQWP2Z2UBRKOL6RRH2BLOIOLJNUAWJNSQ,Sender
