time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2021-11-19 03:13:16,,ORCIE02,1.,,,ALGO,0.003,VETL2v2fhOtMwYG6N/Xs7+C+GGI113XIfzWkbxbVD78=,3 txns. 
2021-11-19 03:13:16,,ALGO,0.203,,,,,Combo 2 VETL2v2fhOtMwYG6N/Xs7+C+GGI113XIfzWkbxbVD78=,3 txns. 
2021-11-19 03:41:42,,ALGO,30.,AI026,1.,ALGO,0.003,rZPvO1LYLpXOVkFWwzJv9N5tGRB+Ir20a2UUSA5v3iM=,4 txns. 
2021-11-19 03:43:23,,,,,,ALGO,0.001,S7ICKKURD4KVJD4NCJ23C46UTV7AT5MHMHVCVZR7OLSXI7ILZC7A,Sender
2021-11-19 03:44:11,,AI026,1.,,,ALGO,0.003,cMDRv3pj8iXXrLC8yZJXtxLxrM0T8qC+Y8rG5qBpSpM=,3 txns. 
2021-11-19 03:44:11,,ALGO,0.203,,,,,Combo 2 cMDRv3pj8iXXrLC8yZJXtxLxrM0T8qC+Y8rG5qBpSpM=,3 txns. 
2021-11-19 04:22:39,,ALGO,3.,GKF0029,1.,ALGO,0.003,OKyhq2jJW2SseRiG3otWi5zamExMoyiAAOJtnLehjkI=,4 txns. 
2021-11-19 05:55:45,,ALGO,5.,,,ALGO,0.001,UDPZR7KPR4S6MMPCCQ2F4LIIGUZ5UWOIOKZLEDPUD2GVWQPUYG6A,Sender
2021-11-19 07:33:28,,ALGO,12.,NFOLD,1.,ALGO,0.003,lJgBpFkEuRESHcJ9/aUNGfc38ebnBn29vc7saMzPdVU=,4 txns. 
2021-11-19 07:35:52,,,,,,ALGO,0.001,YIK4W3CGNJ4NKHMVVGWPCBERDPCXDVRL45DHVTP3NNPHFSOVJ42Q,Sender
2021-11-19 07:36:4,,NFOLD,1.,,,ALGO,0.003,ptlmlxfPCxJdaia0CfaXqupY10BthjtDhdZ2EcVld2k=,3 txns. 
