time,type,sentCurrency,sentQuantity,receivedCurrency,receivedQuantity,feeCurrency,feeQuantity,id,description
2024-05-23 18:42:29,,MCAU,0.15,,,ALGO,0.001,G-LHUbl - XFQNHWHVPTMNDAC4BCKGXZN6DTZE7IXKNZXRS2TBJR5NQECCDDJQ,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:42:29,,,,,,ALGO,0.003,G-LHUbl - BL4AHSLU7JM3HM5ALDE4N53J2RQ2P7BZW7SF7UIQGM2OEQVJ4RZQ,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:42:29,,,,TMPOOL2,0.020735,,,in1 InnerTxn - BL4AH,3 txns. Tinyman : Tinyman AMM v2 : Add Liquidity 
2024-05-23 18:57:31,,,,USDt,0.000158,,,AN4L5OJSWTJKIDVA24L76AQBYKKCBQHREZFPYAXDIRI3FNI7YVGQ,Receiver
2024-05-23 18:57:36,,,,USDC,0.000071,,,WH6Z4HL5MYOY5XLLB2OSDPZOECSZY4GRFXBC2PMMQMAXZHAG6DGA,Receiver
2024-05-23 18:57:42,,,,goETH,0.00000011,,,FOQW6MT33PINNN4T53A2J5VWPFF4OBKVPY7MURI5WUVUNJVOEOJQ,Receiver
2024-05-23 18:59:25,,,,AKTA,0.089371,,,NO7KLEQYNK62KET3TSCPXKYSGWMKB2E36LC2VINJT5ZGF2KQV53A,Receiver
2024-05-23 18:59:31,,,,goUSD,0.000161,,,YZT6L3Q3WZBKEFCA2ZKJOLP43VZHQ2RPQZ3ASU7KPGLF4LKAEGWA,Receiver
2024-05-23 18:59:45,,,,VEST,0.224483,,,USH5N3CQ3BBMOVF6RJDDHHMVJAOFQ2V4WLNF74PIHMRSXJN3RFQA,Receiver
2024-05-23 18:59:51,,,,xUSD,0.000326,,,CPH5PKEJTGW4ZEDPBKRCFUQQU7W7GJROTDCTZV2BXJVR47HFYSHQ,Receiver
2024-05-23 18:59:57,,,,TMPOOL2,0.197684,,,F62OJ63UUPN7FZHFRY4KBMCU2VCKQY55NOMYMKOT6GCYJDHWCWPQ,Receiver
2024-05-23 19:00:02,,,,TMPOOL2,0.041306,,,UV4PP3F7O3Q556JLFWPVPYH7GCDTA3MAUDP3URP6TY2RURHZR2EA,Receiver
2024-05-23 19:00:08,,,,PEPE,8.2783,,,4NVF6DBBT7LJSG2LYILVXIFLE64CHMFSOMZLYNXDTU3ZYDXCAFEA,Receiver
2024-05-23 19:00:14,,,,TMPOOL2,0.003094,,,G7T5OUKF6UTFAJARHXYOA2LKWFKDKIH5XSRRSQP7PSRWCYGVQXHQ,Receiver
2024-05-23 19:00:19,,,,TMPOOL2,1.463081,,,DYYQGC7INWI2BXYODJ2Z3CICA7OD72IZBCLOJX6WWBNAJPX4MEJQ,Receiver
2024-05-23 19:00:25,,,,TMPOOL2,0.031544,,,ESTGQSWE7MK3SQO3H7W7JFGHGTNICRVE7VSYSKDFRWOLLHTYSTBQ,Receiver
2024-05-23 19:00:31,,,,TMPOOL2,0.09966,,,DV77NES4KLM2VD3RXSUEPAI5HJKEL5XU5DRNYLOQ6B7LFMFWMVMQ,Receiver
2024-05-23 19:00:37,,,,TMPOOL2,0.000628,,,OA4ACAHGDZXHAWEXY4WXPQZ27A2W4VGPDAPCXN5KU54DJHF7MFTA,Receiver
2024-05-23 19:00:42,,,,TMPOOL2,0.002716,,,IZQZTFPROYZBGZJJROPCXQ3TTXCXAO6ZDFUNFYYEU22FMY2IMSNQ,Receiver
2024-05-23 19:00:48,,,,TMPOOL2,0.021791,,,N74BFCQX5TNBHOBODBJPPNKZGUOXZWHHLEKREJLUDNK2S6HCIASA,Receiver
2024-05-23 19:00:54,,,,PGOLD,0.0023523,,,22UWAOHX3QGHOKECXKDIBMGWFTNBEXNKSBKY3QB5YE2D7WKJWIQA,Receiver
2024-05-23 19:01:,,,,Peps,64.874102,,,VZRMIYQ2H42PVPZHZRW464KORUYJS26CC5HPLD72LSVE5UKK2AYQ,Receiver
2024-05-23 19:01:05,,,,TMPOOL2,0.092637,,,GY5WV3P3PNQNVFWXDWENEJK5DV3GPSYQILOYQ3SLFVM742KYOWUA,Receiver
2024-05-23 19:01:11,,,,NIKO,1.669639,,,44PBCS7DYOUUOQIOSL4LO2QMQ7ATWTGJSMQHZDOS7T72B4FK52MQ,Receiver
2024-05-23 19:01:23,,,,OTSDGFKD,24.797013,,,DWVKURMD32T3MP2WSPEUZ2LXFFMIEJK5Y33IXFU6T7KDCRCXTG6A,Receiver
2024-05-23 19:01:28,,,,RWA,9.242204,,,AG46ZEZPO54SS3VRMMG3JZ7R5ZPFZBYE22VZS75G2ETD3M57WROA,Receiver
2024-05-23 19:01:34,,,,REA,0.0219,,,LE46UYPSWDHA7RTGT6EDBHPCUWW24HUUYGLTQYM22EQE3HZTGBQQ,Receiver
2024-05-23 19:01:4,,,,BOBO,122.5803,,,FCKF5IUPZ2B6GH5LV7SI6OICLPZOCGDPNXEN3VHX3JQPTEQNYLNA,Receiver
2024-05-24 18:58:14,,,,USDt,0.00033,,,524RE5LYKJTBH3SZVQRXTRQFK4FD4G4OQX55MXVRYPNEWQ54GGNQ,Receiver
2024-05-24 18:58:2,,,,USDC,0.000122,,,ZOKE2CXD4HXM27COHFG56HWDLGC77OYFJ3ZQL4DOMV43KDGPBM4Q,Receiver
2024-05-24 18:58:26,,,,goETH,0.00000008,,,GA7G6RBBCF4WMFWIDFKDWAMHZVIRRDECE2JHA7NTT4GC6BHPP3PQ,Receiver
2024-05-24 18:58:32,,,,goUSD,0.000373,,,XQKJDDPCDRSVTSEHND5PQ36IR6EMJNX3JSRNEVOZJKCR5PWDA3WQ,Receiver
2024-05-24 18:58:37,,,,VEST,0.646845,,,3WZPT6BVTZJNE6WZ4ZWN37PNHE43BTPABHWPGGOC73KGUGDS32TA,Receiver
2024-05-24 18:58:43,,,,gALGO,0.148659,,,TGT2MQ5FKXCK7UKIZBJ5VATTKMTGGKTYFIDQX33MWKOZSYAZ7GVA,Receiver
2024-05-24 18:58:49,,,,COOP,0.275951,,,QBGEOY6WCIXIQVNQ5YWJI7QWSC7A3JNRQ2CXXBXGPULSWF7QAKVA,Receiver
2024-05-24 18:58:55,,,,TMPOOL2,0.112992,,,3KMI2NQ3TBQB5QSQILNTVJQGC24HBGVZYD3ZTHYUCBLU4LWWGAJA,Receiver
2024-05-24 18:59:01,,,,TMPOOL2,0.025757,,,R7QUZ6NZRNI2QRXDMZX2EBECWYCL2MTMUWOWY4GLWWGL4MAJAN2Q,Receiver
2024-05-24 18:59:06,,,,PEPE,71.1258,,,AXGYZXATAHYCORN3C6I7KEQ3XZ4KZAANN26IHDZ4UCR6G6WP5TUA,Receiver
2024-05-24 18:59:12,,,,TMPOOL2,0.001735,,,PALBG3WE3ZS6HAXLF4TYKL2COEVWGZOWOU4G4FZ7RZKDFVXZ4LPA,Receiver
2024-05-24 18:59:18,,,,TMPOOL2,1.088431,,,3AWE7YPTO5DQOWX4ZJLV22NEJRU23NP2XZ2SLSUXIPAHDGMKR5BQ,Receiver
2024-05-24 18:59:24,,,,TMPOOL2,0.033358,,,3NHQWXEFVIWEOTUDBDEDDQTNZ26KK4HEWPP7WTRHAXUAODSOW4YA,Receiver
2024-05-24 18:59:3,,,,TMPOOL2,0.001087,,,YV6WZEPYPO6B4QIHN2633VG4ULEZA3W7DNQ5DIBUKGUU7HNWTPNA,Receiver
2024-05-24 18:59:35,,,,TMPOOL2,0.001999,,,VMD6JD4PP6ZDEVFTWC2K7HWJS5BZHABYPTGHHAZM2JXI3E4245UA,Receiver
2024-05-24 18:59:41,,,,TMPOOL2,0.015464,,,CHMUGRHUBNZCNQWAICN7DJMRR6SWW74U2MKB463OLIIQCH3VBMEQ,Receiver
2024-05-24 18:59:47,,,,TMPOOL2,0.051048,,,SM2YTPOQU4GI4PAIN3BB554POGGHWR5DAWSNVIYTOGLZXLCV2HNQ,Receiver
2024-05-24 18:59:53,,,,NIKO,3.2358,,,3CVDCTJ3GTWJETVA2RA7EPLYCC737YKWYNIGRY3T23UDWG2ELNGQ,Receiver
2024-05-24 19:00:04,,,,Barb,2.494631,,,DDUQDW4HXU3VQGH76Q6F2ZLX2ALHRLSEWOHTIYW7YOCOETT6D2DA,Receiver
2024-05-24 19:00:5,,,,OTSDGFKD,6.00624,,,O3W3AJO6KV4KYDSS2U6GALGSQJSXQJK7XXSCEAWV26GY4TYVWKGQ,Receiver
2024-05-25 07:11:28,,,,NIKO,2449.444635,,,G-seCET - YCYHPWPV5MBMHKOSAQPLBF4KMYYVE72Z2SICBXU3AEWEN5Y7NA2Q,1 txns.  
2024-05-25 11:12:36,,,,USDC,0.000131,,,7RJFCAYJLCSG37TWN7Z5IUOPQQ7B2PJP76RZOMMG6GQP4ENJLJHA,Receiver
2024-05-25 11:12:41,,,,GOLD$,0.000018,,,NZFYAERHKCS5ZTQIFZ3RYFGRSFILBZ65P3GHWZLK7ZPFHZL4TLQQ,Receiver
2024-05-25 11:13:45,,,,AKTA,4.025282,,,G57N6A2CIL2T4KZVIHWTPZC7UN73HV6NIZ4DDDEA3Q2H6T45U2EA,Receiver
2024-05-25 11:13:5,,,,VEST,1.150052,,,5MGHR75IMMGW5FQOZK3G7D3YIKR6ZA2MB4ZB4JNCSFWFCKIYYNFQ,Receiver
2024-05-25 11:13:56,,,,gALGO,0.074337,,,QBJB7C6KQ3IE7MSACBY43DC34UJ5UFTTMOASOMFYC6WPQAS66AUQ,Receiver
2024-05-25 11:14:02,,,,COOP,0.230444,,,HTEDXQRR5TLE7KCMI2A7YNY7LG5NOTW7INKXDV6QULAFWKHQ6Q2Q,Receiver
2024-05-25 11:14:11,,,,TMPOOL2,0.084692,,,CGH5VI245OJ3QWMSRAOYS6ARXGU2LHDUGOHMKFXLFF6I7RMPG6FQ,Receiver
2024-05-25 11:14:16,,,,TMPOOL2,0.024302,,,74E6KDHW7GHDB3CZP5K4L3LKFKIYMCWFVOMRR5SWD6N55YY7DSGQ,Receiver
2024-05-25 11:14:22,,,,TMPOOL2,0.001534,,,TNA5K7OR4RMJXZ5O4S7QOWZSZV6G3GEMQ2RVNQ6IEHU3GFY3QVKQ,Receiver
2024-05-25 11:14:28,,,,TMPOOL2,1.631385,,,2F3B7G6X47SCPUZKPAJCF4FIOC7IXYIOYH7QIJAVGOPMQZRQKNPA,Receiver
2024-05-25 11:14:34,,,,TMPOOL2,0.029354,,,4VVB5LVGGVRECCUSZAYF2R6QRIYFAXZ3RXK6NBAUP362XPNDTXNQ,Receiver
2024-05-25 11:14:39,,,,TMPOOL2,0.023599,,,RD6I5GMF7EW3YNYNVFI7PR57DRRPAQOANY7D2KEIQOHJOGG5LY4Q,Receiver
2024-05-25 11:14:45,,,,TMPOOL2,0.000943,,,AMVA2G2VRF5XGNWHMCF6PFZFMMR2R3H7UQH7HR4E47MZ5GG23RLQ,Receiver
2024-05-25 11:14:51,,,,TMPOOL2,0.006434,,,AHALVGA6QZT6LNDZ3TXNCUXFGGB3LO3IMR6FDONQZKFRYRCUGJBA,Receiver
2024-05-25 11:14:57,,,,TMPOOL2,0.023861,,,LG5FXXY467KG7HL45QQNFBMU7KV5AE757OTOSNUPKARDYW2ZSW5Q,Receiver
2024-05-25 11:15:02,,,,TMPOOL2,0.054193,,,4UKMJ4W4HPNM5NR5Y45CGQ5JEGX33YL54BBXK5JLJZUWAJDXK3KA,Receiver
2024-05-25 11:15:08,,,,NIKO,7.605574,,,42YYKEXEDN635V72QGXNG7656KEHEND5N2LZGZPDMUCE6WEZBQZQ,Receiver
2024-05-25 11:15:2,,,,Barb,1.755501,,,USD2ZA3JYIRZVN42QSZMJYASJSVFGATSASTBRNLLNUPQC2CC5ZYA,Receiver
2024-05-25 11:15:25,,,,TMPOOL2,0.243275,,,OR3HFLV56GAIALBH757P5KXMTLBXLW4NRH5L7RIR2PELVVUWSWDQ,Receiver
